en_us	pt_BR
Too much to discuss over a bucket of balls.	Muito a discutir sobre um balde de bolas.
I can recall the glow of your low beams.	Eu me lembro do brilho do seu farol baixo.
It's the big night in Tinsel City.	É a grande noite na Tinsel City.
Life became a spectator sport.	A vida se tornou um espectador de esporte.
I launch my fragrance called Integrity.	Eu lanço minha fragrância chamada Integridade.
I sell the fact that I can't be bought.	Eu vendo o fato de que não posso ser comprado.
Have I told you all about the time that I got sucked into a hole.	Eu já te contei tudo sobre quando fui sugado para um buraco.
Through a handheld device?.	Através de um dispositivo portátil?.
I will flashback now and again, but I'm usually alright.	Relembro de vez em quando, mas geralmente estou bem.
Thankfully, the process has been simplified.	Felizmente, o processo foi simplificado.
Since the last time you tried.	Desde a última vez que você tentou.
I've recognized the glow of your low beams numerous times.	Eu reconheci o brilho do seu farol baixo várias vezes.
I'll be by the Batphone if you need to get a hold.	Eu estarei com meu Batfone se você precisar de ajuda.
Making a selection, opening credits roll.	Fazendo uma seleção, abertura de créditos.
Panoramic windows looking out across your soul.	Janelas panorâmicas com vista para sua alma.
You go in through the door.	Você entra pela porta.
Vengeance trilogy wallpaper walls.	Paredes com papel de parede de trilogia de vingança.
They have re-decorated it all.	Eles redecoraram tudo.
They've changed all the lights and the bar's down the side.	Eles mudaram todas as luzes e a barra foi para o lado.
I've recognized the glow of your low beams numerous times.	Eu reconheci o brilho de seu farol baixo várias vezes.
Through fairly opaque blinds in the sitting room.	Através de persianas bastante opacas na sala de estar.
Vehicles will pass by, but I know when it's you.	Veículos vão passar por mim, mas eu sei quando é você.
I'll be in a nose dive in my flying shoes.	Eu estarei em queda livre com meus sapatos voadores.
Right behind your closed eyes like a memory from your youth.	Logo atrás de seus olhos fechados, como uma lembrança de sua juventude.
I'll be by the Batphone if you need to get a hold.	Eu estarei com meu Batfone se você precisar de ajuda.
Making a selection, opening credits roll.	Fazendo uma seleção, abertura de créditos.
Killer Pink Flamingos, computer controlled.	Flamingos rosa assassinos, controlados por computador.
Panoramic windows looking out across your soul.	Janelas panorâmicas com vista para sua alma.
Bigger Boys  Stolen Sweethearts (B-side Single Version)	Garotos Mais Velhos e Gatinhas Roubadas (B-Side Versão Inglesa)
There's always somebody taller.	Há sempre alguém mais alto.
With more of a wit.	Um pouco mais inteligente.
And he's equipped to enthrall her.	E ele está equipado para encantar ela.
And her friends think he's fit.	E suas amigas pensam que ele é perfeito.
And you just can't measure up no.	E você simplesmente não pode competir,não.
You don't have a prayer.	Você não tem uma oração.
Wishing that you'd made the most of her.	Desejando que você tinha aproveitado ela ao máximo.
When she was there.	Quando ela estava lá.
They've got engaged.	Eles ficaram noivos.
There's no intention of a wedding.	Não há nenhuma intenção de um casamento.
He's pinched your bird.	Ele fisgou ela.
And he'd probably kick your head in.	E ele provavelmente vai chutar sua cabeça.
Bigger Boys and Stolen Sweethearts.	Meninos grandes e gatinhas roubadas.
You're better off without her anyway.	Você está melhor sem ela de qualquer maneira.
You said you wasn't sad to see her go.	Você disse que não estava triste vê-la ir embora.
Yeah, but I know you were though.	Sim, mas eu sei que você estava.
Bet you don't know what she's upto.	Aposto que você não sabe o que ela anda fazendo.
You can only assume.	Você só pode tentar adivinhar.
She's not on't front of the shops then.	Ela não está em frente às lojas então.
They've gone to his room.	Eles foram para o quarto dele.
Bet she's gone round in her school stuff.	Aposto que ela foi com o uniforme da escola.
I Bet that's what he likes.	Aposto que é o que ele gosta.
I bet you thought she was different.	Aposto que você pensou que ela era diferente.
And you thought she was nice.	E você pensou que ela era boazinha.
But she's not nice.	Mas ela não é agradável.
She's pretty fucking far from nice.	Ela esta longe pra caralho de ser legal.
She's looking at you funny.	Ela está olhando para você engraçado.
Rarely looking at you twice.	Raramente ela olha para você duas vezes.
Bigger Boys and Stolen Sweethearts.	Meninos grandes e gatinhas roubadas.
Oh, you're better off without her anyway.	Oh, você está melhor sem ela de qualquer maneira.
You said you wasn't sad to see her go.	Você disse que não estava triste vê-la ir embora.
Yeah but it's clear you were though.	Sim, mas eu sei que você estava.
Have you heard what she's been doing?.	Você ouviu falar o que ela anda fazendo?.
Never did it for me.	Nunca fez nada disso por mim.
He picks her up at the school gate.	Ele a busca no portão na escola.
At twenty past three.	Às três e vinte.
She's been with all the boys but.	Ela já esteve com todos os garotos mas.
Never went very far.	Nunca foi muito longe.
And she wagged English and Science.	E ela cabulou Inglês e Ciências.
Just to go in his car.	Só pra ir no carro dele.
They've got engaged.	Eles ficaram noivos.
There's no intention of a wedding.	Sem intenção de casamento.
He's pinched me bird.	Ele fisgou ela.
And he'd probably kick my head in, oh.	E ele provavelmente vai chutar minha cabeça,oh.
Now the girls have grown.	Agora as garotas cresceram.
Yeah but I'm sure that they still carry on in similar ways.	Mas tenho certeza que elas ainda continuam meio iguais.
Bigger Boys and Stolen Sweethearts.	Garotos mais velhos e gatinhas roubadas.
So, I'm better off without her anyway.	Porque eu estou melhor sem ela mesmo.
I said I wasn't sad to see her go.	Eu disse que não estava triste em vê-la partir.
But I'm only pretending, you know.	Mas eu estou só fingindo, você sabe.
Yeah, I'm only pretending, you know.	Yeah, é eu estou só fingindo, você sabe.
Yeah, I'm only pretending, you know.	Yeah, eu estou só fingindo, você sabe.
Oh, I'm only pretending, you know.	Oh, eu estou só fingindo, você sabe.
Black Treacle	Melaço Preto
Lately I've been seeing things.	Ultimamente venho vendo coisas.
Belly button piercings in the sky at night.	Piercings de umbigo no céu à noite.
When we're side by side.	Quando estamos lado a lado.
And I don't mean to rain on anybody's cabriolet.	E eu não quero que chova no conversível de ninguém.
One of those games you're gonna lose.	Um daqueles jogos que você vai perder.
But you wanna play it just in case.	Mas você quer jogar, só para ter certeza.
And now it's getting dark and the sky looks sticky.	Agora está ficando escuro e o céu parece pegajoso.
More like black treacle than tar.	Mais como melaço preto do que alcatrão.
Black treacle.	Melaço preto.
Somebody told the stars you're not coming out tonight.	Alguém falou às estrelas que você não sairá hoje à noite.
And so they found a place to hide.	Então elas acharam um lugar para se esconder.
Does it help you stay up late?.	Te ajuda ficar acordado até tarde?.
Does it help you concentrate?.	Te ajuda a se concentrar?.
Is it true you win, when you chew your chin?.	É verdade que você ganha quando mastiga seu queixo?.
Am I ruining your fun?.	Estou arruinando a sua diversão?.
And you talk the talk alrite.	E você se expressa bem.
But do you walk the walk or catch the train?.	Mas você anda a pé ou pega o trem?.
You wanted it.	Você queria isso.
You got it, but you don't want it now.	Você conseguiu, mas você não quer agora.
Now it's getting dark and the sky looks sticky.	Agora está ficando escuro e o céu parece pegajoso.
More like black treacle than tar.	Mais como melaço preto do que alcatrão.
Black treacle.	Melaço preto.
Somebody told the stars you're not coming out tonight.	Alguém falou às estrelas que você não sairá hoje à noite.
And so they found a place to hide.	Então elas acharam um lugar para se esconder.
And I'm out of place and I'm not getting any wiser.	E estou deslocado e não estou ficando mais sábio.
I feel like the Sundance Kid behind a synthesiser.	Me sinto como o Sundance Kid atrás de um sintetizador.
And I tried last night to pack away your laugh.	E eu tentei ontem à noite guardar sua risada.
Like a key under the mat.	Como uma chave debaixo do tapete.
But it never seems to be there when you want it.	Mas parece que nunca está lá quando queremos.
Black treacle.	Melaço preto.
Black treacle.	Melaço preto.
Black treacle.	Melaço preto.
Brianstorm	Tempestade Brian
Brian.	Brian.
Top marks for not tryin'.	Especialista em não tentar.
So kind of you to bless us with your effortlessness.	Tão gentil de sua parte em nos abençoar com a sua falta de esforço.
We're grateful and so strangely comforted.	Nós estamos gratos e tão estranhamente confortados.
And I wonder.	E eu imagino.
Are you puttin' us under?.	Você está nos rebaixando?.
'Cos we can't take our eyes.	Porque nós não conseguimos tirar nossos olhos.
Off the t-shirt and ties combination.	Da combinação de camiseta e gravatas.
Well, see you later, innovator.	Bem, nos vemos mais tarde, inovador.
Some want to kiss, some want to kick you.	Alguns querem beijar, alguns querem lhe chutar.
There's not a net you couldn't slip through.	Não há uma rede que você não consiga passar por ela.
Or at least that's the impression I get.	Ou ao menos essa é a impressão que tenho.
'Cos you're smooth and you're wet.	Porque você é tão liso e está molhado.
And she's not aware yet, but she's yours.	E ela não está alerta ainda, mas ela é sua.
She'll be sayin': Use me.	Ela estará dizendo: Me use.
Show me the jacuzzi.	Mostre me a banheira.
I imagine that it's there on a plate.	Eu imagino que está lá em um prato.
You're whole rendezvous rate.	Sua própria taxa de encontros.
Means that you'll never be frightened.	Mostra que você nunca vai estar assustado.
To make 'em wait for a while.	Em fazê-los esperar um pouco.
I doubt it's your style.	Eu duvido que seja seu estilo.
Not to get what you set.	Não receber o que você definiu.
Out to acquire.	Para adquirir.
The odds are on fire.	As chances estão em chamas.
You are the unforecasted storm.	E você é a tempestade sem previsão.
Calm, collected and commanding.	Calmo, seleto e comandando.
(Top marks for not tryin').	(Especialista em não tentar).
You leave the other story standing.	Você sustentou as outras histórias.
With your renditions and jokes.	Com suas rendições e piadas.
Bet there's hundreds of blokes.	Aposto que há cem sujeitos.
That have wept, 'cos you've stolen their.	Que choraram, porque você roubou seu.
Thunder.	Trovão.
Are you putting us under?.	Você está nos rebaixando?.
'Cos we can't take our eyes.	Porque nós não conseguimos tirar nossos olhos.
Off the t-shirt and ties combination.	Da combinação de camiseta e gravatas.
Well, see you later, innovator.	Bem, nos vemos mais tarde, inovador.
Brick By Brick	Tijolo Por Tijolo
I want to build you up (brick by brick).	Eu quero te construir (tijolo por tijolo).
I want to break you down (brick by brick).	Eu quero te quebrar (tijolo por tijolo).
I'm going to reconstruct (brick by brick).	Eu quero reconstruir (tijolo por tijolo).
I want to feel you love.	Eu quero sentir o seu amor.
Brick by brick (ah).	Tijolo por tijolo, (ah).
Brick by brick (ah).	Tijolo por tijolo (ah).
I want to steal your soul (brick by brick).	Eu quero roubar sua alma (tijolo por tijolo).
I want to rock 'n' roll (brick by brick).	Eu quero rock and roll (tijolo por tijolo).
I want to rock and roll (brick by brick).	Eu quero rock and roll (tijolo por tijolo).
I want to rock and roll.	Eu quero rock and roll.
Brick by brick (ah).	Tijolo por tijolo, (ah).
Brick by brick (ah).	Tijolo por tijolo (ah).
